"Day","block","total","total_rew","proportion"
"Day 1",1,714,631,0.88
"Day 1",2,714,500,0.7
"Day 1",3,714,571,0.8
"Day 1",4,676,528,0.78
"Day 1",5,614,483,0.79
"Day 1",6,501,410,0.82
"Day 2",1,714,656,0.92
"Day 2",2,714,612,0.86
"Day 2",3,709,594,0.84
"Day 2",4,663,539,0.81
"Day 2",5,616,529,0.86
"Day 2",6,432,348,0.81
"Day 3",1,707,648,0.92
"Day 3",2,663,562,0.85
"Day 3",3,662,584,0.88
"Day 3",4,613,498,0.81
"Day 3",5,524,448,0.85
"Day 3",6,471,376,0.8
